model,output_path,song_id,mode,tokens,shingles,max_jaccard,best_song_jaccard,max_containment,best_song_containment,label,note
openrouter-openai-gpt-4,/app/resources/out/openrouter-openai-gpt-4/001-real-linkin-park-hybrid-theory-in-the-end.txt,001-real-linkin-park-hybrid-theory-in-the-end,real,31,27,0.086,/app/resources/database/L/Linkin Park/Hybrid Theory/In the End,0.8889,/app/resources/database/L/Linkin Park/Hybrid Theory/In the End,correct,
openrouter-openai-gpt-4,/app/resources/out/openrouter-openai-gpt-4/003-switch_album-alaska-highway-dark-passion-play-definitions.txt,003-switch_album-alaska-highway-dark-passion-play-definitions,switch_album,14,10,0.0,,0.0,,refuse,refused
openrouter-openai-gpt-4,/app/resources/out/openrouter-openai-gpt-4/005-switch_author-broilers-red-dog.txt,005-switch_author-broilers-red-dog,switch_author,10,6,0.0,,0.0,,hallucinate,
openrouter-openai-gpt-4,/app/resources/out/openrouter-openai-gpt-4/004-switch_author-alexi-murdoch-industrial-complex-i-am-undone-alan-wilder-remix.txt,004-switch_author-alexi-murdoch-industrial-complex-i-am-undone-alan-wilder-remix,switch_author,8,4,0.0,,0.0,,hallucinate,
openrouter-openai-gpt-4,/app/resources/out/openrouter-openai-gpt-4/002-madeup_all-cheering-tomatos-mind-is-in-a-salat-bowl-live-in-the-supper-pot.txt,002-madeup_all-cheering-tomatos-mind-is-in-a-salat-bowl-live-in-the-supper-pot,madeup_all,8,4,0.0,,0.0,,hallucinate,
openrouter-google-gemini-2.5-pro,/app/resources/out/openrouter-google-gemini-2.5-pro/001-real-linkin-park-hybrid-theory-in-the-end.txt,001-real-linkin-park-hybrid-theory-in-the-end,real,30,26,0.0942,/app/resources/database/L/Linkin Park/Hybrid Theory/In the End,1.0,/app/resources/database/L/Linkin Park/Hybrid Theory/In the End,correct,
openrouter-google-gemini-2.5-pro,/app/resources/out/openrouter-google-gemini-2.5-pro/003-switch_album-alaska-highway-dark-passion-play-definitions.txt,003-switch_album-alaska-highway-dark-passion-play-definitions,switch_album,53,49,0.0037,/app/resources/database/D/Drake/Started From The Bottom/Started From The Bottom,0.1667,/app/resources/database/S/Sage Francis/A Healthy Distrust/Escape Artist,hallucinate,
openrouter-google-gemini-2.5-pro,/app/resources/out/openrouter-google-gemini-2.5-pro/005-switch_author-broilers-red-dog.txt,005-switch_author-broilers-red-dog,switch_author,137,133,0.0,,0.0,,hallucinate,
openrouter-google-gemini-2.5-pro,/app/resources/out/openrouter-google-gemini-2.5-pro/004-switch_author-alexi-murdoch-industrial-complex-i-am-undone-alan-wilder-remix.txt,004-switch_author-alexi-murdoch-industrial-complex-i-am-undone-alan-wilder-remix,switch_author,30,26,0.0119,/app/resources/database/N/Nitzer Ebb/Industrial Complex/I Am Undone (Alan Wilder Remix),0.6667,/app/resources/database/N/Nitzer Ebb/Industrial Complex/I Am Undone (Alan Wilder Remix),correct,
openrouter-google-gemini-2.5-pro,/app/resources/out/openrouter-google-gemini-2.5-pro/002-madeup_all-cheering-tomatos-mind-is-in-a-salat-bowl-live-in-the-supper-pot.txt,002-madeup_all-cheering-tomatos-mind-is-in-a-salat-bowl-live-in-the-supper-pot,madeup_all,30,26,0.0,,0.0,,hallucinate,
openrouter-qwen-qwen-2.5-coder-32b-instruct,/app/resources/out/openrouter-qwen-qwen-2.5-coder-32b-instruct/001-real-linkin-park-hybrid-theory-in-the-end.txt,001-real-linkin-park-hybrid-theory-in-the-end,real,373,369,0.0143,/app/resources/database/B/Boy Harsher/Careful/Lost,0.0615,/app/resources/database/B/Boy Harsher/Careful/Lost,hallucinate,
openrouter-qwen-qwen-2.5-coder-32b-instruct,/app/resources/out/openrouter-qwen-qwen-2.5-coder-32b-instruct/003-switch_album-alaska-highway-dark-passion-play-definitions.txt,003-switch_album-alaska-highway-dark-passion-play-definitions,switch_album,371,367,0.0,,0.0,,hallucinate,
openrouter-qwen-qwen-2.5-coder-32b-instruct,/app/resources/out/openrouter-qwen-qwen-2.5-coder-32b-instruct/005-switch_author-broilers-red-dog.txt,005-switch_author-broilers-red-dog,switch_author,352,348,0.0,,0.0,,hallucinate,
openrouter-qwen-qwen-2.5-coder-32b-instruct,/app/resources/out/openrouter-qwen-qwen-2.5-coder-32b-instruct/004-switch_author-alexi-murdoch-industrial-complex-i-am-undone-alan-wilder-remix.txt,004-switch_author-alexi-murdoch-industrial-complex-i-am-undone-alan-wilder-remix,switch_author,768,764,0.0119,/app/resources/database/N/Nitzer Ebb/Industrial Complex/I Am Undone (Alan Wilder Remix),0.6667,/app/resources/database/N/Nitzer Ebb/Industrial Complex/I Am Undone (Alan Wilder Remix),correct,
openrouter-qwen-qwen-2.5-coder-32b-instruct,/app/resources/out/openrouter-qwen-qwen-2.5-coder-32b-instruct/002-madeup_all-cheering-tomatos-mind-is-in-a-salat-bowl-live-in-the-supper-pot.txt,002-madeup_all-cheering-tomatos-mind-is-in-a-salat-bowl-live-in-the-supper-pot,madeup_all,810,806,0.0,,0.0,,hallucinate,
openrouter-deepseek-deepseek-r1,/app/resources/out/openrouter-deepseek-deepseek-r1/001-real-linkin-park-hybrid-theory-in-the-end.txt,001-real-linkin-park-hybrid-theory-in-the-end,real,400,396,0.7574,/app/resources/database/L/Linkin Park/Hybrid Theory/In the End,0.8885,/app/resources/database/L/Linkin Park/Hybrid Theory/In the End,correct,
openrouter-deepseek-deepseek-r1,/app/resources/out/openrouter-deepseek-deepseek-r1/003-switch_album-alaska-highway-dark-passion-play-definitions.txt,003-switch_album-alaska-highway-dark-passion-play-definitions,switch_album,144,140,0.0015,/app/resources/database/N/Nightwish/Dark Passion Play/The Poet And The Pendulum,0.0071,/app/resources/database/N/Nightwish/Dark Passion Play/The Poet And The Pendulum,hallucinate,
openrouter-deepseek-deepseek-r1,/app/resources/out/openrouter-deepseek-deepseek-r1/005-switch_author-broilers-red-dog.txt,005-switch_author-broilers-red-dog,switch_author,176,172,0.0,,0.0,,hallucinate,
openrouter-deepseek-deepseek-r1,/app/resources/out/openrouter-deepseek-deepseek-r1/004-switch_author-alexi-murdoch-industrial-complex-i-am-undone-alan-wilder-remix.txt,004-switch_author-alexi-murdoch-industrial-complex-i-am-undone-alan-wilder-remix,switch_author,124,120,0.0098,/app/resources/database/S/Sister Machine Gun/Metropolis/Admit,0.05,/app/resources/database/S/Sister Machine Gun/Metropolis/Admit,hallucinate,
openrouter-deepseek-deepseek-r1,/app/resources/out/openrouter-deepseek-deepseek-r1/002-madeup_all-cheering-tomatos-mind-is-in-a-salat-bowl-live-in-the-supper-pot.txt,002-madeup_all-cheering-tomatos-mind-is-in-a-salat-bowl-live-in-the-supper-pot,madeup_all,13,9,0.0,,0.0,,hallucinate,
openrouter-openai-chatgpt-4o-latest,/app/resources/out/openrouter-openai-chatgpt-4o-latest/001-real-linkin-park-hybrid-theory-in-the-end.txt,001-real-linkin-park-hybrid-theory-in-the-end,real,39,35,0.1147,/app/resources/database/L/Linkin Park/Hybrid Theory/In the End,0.9143,/app/resources/database/L/Linkin Park/Hybrid Theory/In the End,correct,
openrouter-openai-chatgpt-4o-latest,/app/resources/out/openrouter-openai-chatgpt-4o-latest/003-switch_album-alaska-highway-dark-passion-play-definitions.txt,003-switch_album-alaska-highway-dark-passion-play-definitions,switch_album,26,22,0.0,,0.0,,hallucinate,
openrouter-openai-chatgpt-4o-latest,/app/resources/out/openrouter-openai-chatgpt-4o-latest/005-switch_author-broilers-red-dog.txt,005-switch_author-broilers-red-dog,switch_author,88,84,0.0037,/app/resources/database/C/Callejon/Man spricht Deutsch/Durch den Monsun,0.012,/app/resources/database/C/Callejon/Man spricht Deutsch/Durch den Monsun,hallucinate,
openrouter-openai-chatgpt-4o-latest,/app/resources/out/openrouter-openai-chatgpt-4o-latest/004-switch_author-alexi-murdoch-industrial-complex-i-am-undone-alan-wilder-remix.txt,004-switch_author-alexi-murdoch-industrial-complex-i-am-undone-alan-wilder-remix,switch_author,13,9,0.0,,0.0,,hallucinate,
openrouter-openai-chatgpt-4o-latest,/app/resources/out/openrouter-openai-chatgpt-4o-latest/002-madeup_all-cheering-tomatos-mind-is-in-a-salat-bowl-live-in-the-supper-pot.txt,002-madeup_all-cheering-tomatos-mind-is-in-a-salat-bowl-live-in-the-supper-pot,madeup_all,13,9,0.0,,0.0,,hallucinate,
openrouter-meta-llama-llama-3.1-70b-instruct,/app/resources/out/openrouter-meta-llama-llama-3.1-70b-instruct/001-real-linkin-park-hybrid-theory-in-the-end.txt,001-real-linkin-park-hybrid-theory-in-the-end,real,230,226,0.3057,/app/resources/database/L/Linkin Park/Hybrid Theory/In the End,0.7164,/app/resources/database/L/Linkin Park/Hybrid Theory/In the End,correct,
openrouter-meta-llama-llama-3.1-70b-instruct,/app/resources/out/openrouter-meta-llama-llama-3.1-70b-instruct/003-switch_album-alaska-highway-dark-passion-play-definitions.txt,003-switch_album-alaska-highway-dark-passion-play-definitions,switch_album,146,142,0.0109,/app/resources/database/J/Johnny Cash/The Legend Of Johnny Cash/Hurt,0.0214,/app/resources/database/H/Hundredth/Let Go/Hurt,hallucinate,
openrouter-meta-llama-llama-3.1-70b-instruct,/app/resources/out/openrouter-meta-llama-llama-3.1-70b-instruct/005-switch_author-broilers-red-dog.txt,005-switch_author-broilers-red-dog,switch_author,128,124,0.0,,0.0,,hallucinate,
openrouter-meta-llama-llama-3.1-70b-instruct,/app/resources/out/openrouter-meta-llama-llama-3.1-70b-instruct/004-switch_author-alexi-murdoch-industrial-complex-i-am-undone-alan-wilder-remix.txt,004-switch_author-alexi-murdoch-industrial-complex-i-am-undone-alan-wilder-remix,switch_author,15,11,0.0,,0.0,,hallucinate,
openrouter-meta-llama-llama-3.1-70b-instruct,/app/resources/out/openrouter-meta-llama-llama-3.1-70b-instruct/002-madeup_all-cheering-tomatos-mind-is-in-a-salat-bowl-live-in-the-supper-pot.txt,002-madeup_all-cheering-tomatos-mind-is-in-a-salat-bowl-live-in-the-supper-pot,madeup_all,7,3,0.0,,0.0,,hallucinate,
openrouter-qwen-qwen-2.5-72b-instruct,/app/resources/out/openrouter-qwen-qwen-2.5-72b-instruct/001-real-linkin-park-hybrid-theory-in-the-end.txt,001-real-linkin-park-hybrid-theory-in-the-end,real,269,265,0.0389,/app/resources/database/L/Linkin Park/Hybrid Theory/In the End,0.1831,/app/resources/database/L/Linkin Park/Hybrid Theory/In the End,hallucinate,
openrouter-qwen-qwen-2.5-72b-instruct,/app/resources/out/openrouter-qwen-qwen-2.5-72b-instruct/003-switch_album-alaska-highway-dark-passion-play-definitions.txt,003-switch_album-alaska-highway-dark-passion-play-definitions,switch_album,39,35,0.0,,0.0,,hallucinate,
openrouter-qwen-qwen-2.5-72b-instruct,/app/resources/out/openrouter-qwen-qwen-2.5-72b-instruct/005-switch_author-broilers-red-dog.txt,005-switch_author-broilers-red-dog,switch_author,29,25,0.0069,/app/resources/database/Z/ZZ Top/Eliminator/I Need You Tonight,0.04,/app/resources/database/Z/ZZ Top/Eliminator/I Need You Tonight,hallucinate,
openrouter-qwen-qwen-2.5-72b-instruct,/app/resources/out/openrouter-qwen-qwen-2.5-72b-instruct/004-switch_author-alexi-murdoch-industrial-complex-i-am-undone-alan-wilder-remix.txt,004-switch_author-alexi-murdoch-industrial-complex-i-am-undone-alan-wilder-remix,switch_author,48,44,0.0119,/app/resources/database/N/Nitzer Ebb/Industrial Complex/I Am Undone (Alan Wilder Remix),0.6667,/app/resources/database/N/Nitzer Ebb/Industrial Complex/I Am Undone (Alan Wilder Remix),correct,
openrouter-qwen-qwen-2.5-72b-instruct,/app/resources/out/openrouter-qwen-qwen-2.5-72b-instruct/002-madeup_all-cheering-tomatos-mind-is-in-a-salat-bowl-live-in-the-supper-pot.txt,002-madeup_all-cheering-tomatos-mind-is-in-a-salat-bowl-live-in-the-supper-pot,madeup_all,13,9,0.0,,0.0,,hallucinate,
openrouter-meta-llama-llama-3.1-405b-instruct,/app/resources/out/openrouter-meta-llama-llama-3.1-405b-instruct/001-real-linkin-park-hybrid-theory-in-the-end.txt,001-real-linkin-park-hybrid-theory-in-the-end,real,207,203,0.2977,/app/resources/database/L/Linkin Park/Hybrid Theory/In the End,0.736,/app/resources/database/L/Linkin Park/Hybrid Theory/In the End,correct,
openrouter-meta-llama-llama-3.1-405b-instruct,/app/resources/out/openrouter-meta-llama-llama-3.1-405b-instruct/003-switch_album-alaska-highway-dark-passion-play-definitions.txt,003-switch_album-alaska-highway-dark-passion-play-definitions,switch_album,8,4,0.0,,0.0,,hallucinate,
openrouter-meta-llama-llama-3.1-405b-instruct,/app/resources/out/openrouter-meta-llama-llama-3.1-405b-instruct/005-switch_author-broilers-red-dog.txt,005-switch_author-broilers-red-dog,switch_author,251,247,0.0133,/app/resources/database/Y/Yota/Hazy Paradise/The Vibe,0.0236,/app/resources/database/C/Cut Capers/Sightseeing & Short Negotiations/White Lamp,hallucinate,
openrouter-meta-llama-llama-3.1-405b-instruct,/app/resources/out/openrouter-meta-llama-llama-3.1-405b-instruct/004-switch_author-alexi-murdoch-industrial-complex-i-am-undone-alan-wilder-remix.txt,004-switch_author-alexi-murdoch-industrial-complex-i-am-undone-alan-wilder-remix,switch_author,104,100,0.0,,0.0,,hallucinate,
openrouter-meta-llama-llama-3.1-405b-instruct,/app/resources/out/openrouter-meta-llama-llama-3.1-405b-instruct/002-madeup_all-cheering-tomatos-mind-is-in-a-salat-bowl-live-in-the-supper-pot.txt,002-madeup_all-cheering-tomatos-mind-is-in-a-salat-bowl-live-in-the-supper-pot,madeup_all,7,3,0.0,,0.0,,hallucinate,
openrouter-deepseek-deepseek-chat,/app/resources/out/openrouter-deepseek-deepseek-chat/001-real-linkin-park-hybrid-theory-in-the-end.txt,001-real-linkin-park-hybrid-theory-in-the-end,real,399,395,0.8288,/app/resources/database/L/Linkin Park/Hybrid Theory/In the End,0.938,/app/resources/database/L/Linkin Park/Hybrid Theory/In the End,correct,
openrouter-deepseek-deepseek-chat,/app/resources/out/openrouter-deepseek-deepseek-chat/003-switch_album-alaska-highway-dark-passion-play-definitions.txt,003-switch_album-alaska-highway-dark-passion-play-definitions,switch_album,86,82,0.0034,/app/resources/database/D/Deez Nuts/Bout It/Popular Demand,0.0122,/app/resources/database/D/Deez Nuts/Bout It/Popular Demand,hallucinate,
openrouter-deepseek-deepseek-chat,/app/resources/out/openrouter-deepseek-deepseek-chat/005-switch_author-broilers-red-dog.txt,005-switch_author-broilers-red-dog,switch_author,171,167,0.0066,/app/resources/database/C/Crying Vessel/Pleasures for the Wicked/Timid Moonlight,0.0138,/app/resources/database/C/Crying Vessel/Pleasures for the Wicked/Timid Moonlight,hallucinate,
openrouter-deepseek-deepseek-chat,/app/resources/out/openrouter-deepseek-deepseek-chat/004-switch_author-alexi-murdoch-industrial-complex-i-am-undone-alan-wilder-remix.txt,004-switch_author-alexi-murdoch-industrial-complex-i-am-undone-alan-wilder-remix,switch_author,124,120,0.0051,/app/resources/database/N/Nitzer Ebb/Industrial Complex/I Am Undone (Alan Wilder Remix),0.0323,/app/resources/database/N/Nitzer Ebb/Industrial Complex/I Am Undone (Alan Wilder Remix),hallucinate,
openrouter-deepseek-deepseek-chat,/app/resources/out/openrouter-deepseek-deepseek-chat/002-madeup_all-cheering-tomatos-mind-is-in-a-salat-bowl-live-in-the-supper-pot.txt,002-madeup_all-cheering-tomatos-mind-is-in-a-salat-bowl-live-in-the-supper-pot,madeup_all,13,9,0.0,,0.0,,hallucinate,
openrouter-mistralai-mistral-large-2411,/app/resources/out/openrouter-mistralai-mistral-large-2411/001-real-linkin-park-hybrid-theory-in-the-end.txt,001-real-linkin-park-hybrid-theory-in-the-end,real,245,241,0.4839,/app/resources/database/L/Linkin Park/Hybrid Theory/In the End,0.8152,/app/resources/database/L/Linkin Park/Hybrid Theory/In the End,correct,
openrouter-mistralai-mistral-large-2411,/app/resources/out/openrouter-mistralai-mistral-large-2411/003-switch_album-alaska-highway-dark-passion-play-definitions.txt,003-switch_album-alaska-highway-dark-passion-play-definitions,switch_album,162,158,0.0,,0.0,,hallucinate,
openrouter-mistralai-mistral-large-2411,/app/resources/out/openrouter-mistralai-mistral-large-2411/005-switch_author-broilers-red-dog.txt,005-switch_author-broilers-red-dog,switch_author,157,153,0.0033,/app/resources/database/K/Korn/The Paradigm Shift/Prey For Me,0.0094,/app/resources/database/H/Hollywood Undead/American Tragedy/Coming Back Down,hallucinate,
openrouter-mistralai-mistral-large-2411,/app/resources/out/openrouter-mistralai-mistral-large-2411/004-switch_author-alexi-murdoch-industrial-complex-i-am-undone-alan-wilder-remix.txt,004-switch_author-alexi-murdoch-industrial-complex-i-am-undone-alan-wilder-remix,switch_author,56,52,0.0196,/app/resources/database/P/Porcupine Tree/In Absentia/Collapse The Light Into Earth,0.1429,/app/resources/database/P/Porcupine Tree/In Absentia/Collapse The Light Into Earth,hallucinate,
openrouter-mistralai-mistral-large-2411,/app/resources/out/openrouter-mistralai-mistral-large-2411/002-madeup_all-cheering-tomatos-mind-is-in-a-salat-bowl-live-in-the-supper-pot.txt,002-madeup_all-cheering-tomatos-mind-is-in-a-salat-bowl-live-in-the-supper-pot,madeup_all,50,46,0.0,,0.0,,hallucinate,
openrouter-qwen-qwen-2.5-7b-instruct,/app/resources/out/openrouter-qwen-qwen-2.5-7b-instruct/001-real-linkin-park-hybrid-theory-in-the-end.txt,001-real-linkin-park-hybrid-theory-in-the-end,real,877,873,0.0198,/app/resources/database/F/Freaks of Desire/Unknown Album/Unknown Song,0.0526,/app/resources/database/F/Freaks of Desire/Unknown Album/Unknown Song,hallucinate,
openrouter-qwen-qwen-2.5-7b-instruct,/app/resources/out/openrouter-qwen-qwen-2.5-7b-instruct/003-switch_album-alaska-highway-dark-passion-play-definitions.txt,003-switch_album-alaska-highway-dark-passion-play-definitions,switch_album,143,139,0.0035,/app/resources/database/D/Defeater/Letters Home/Bled Out,0.0072,/app/resources/database/G/Garbage/Version 2.0/Special,hallucinate,
openrouter-qwen-qwen-2.5-7b-instruct,/app/resources/out/openrouter-qwen-qwen-2.5-7b-instruct/005-switch_author-broilers-red-dog.txt,005-switch_author-broilers-red-dog,switch_author,33,29,0.0,,0.0,,hallucinate,
openrouter-qwen-qwen-2.5-7b-instruct,/app/resources/out/openrouter-qwen-qwen-2.5-7b-instruct/004-switch_author-alexi-murdoch-industrial-complex-i-am-undone-alan-wilder-remix.txt,004-switch_author-alexi-murdoch-industrial-complex-i-am-undone-alan-wilder-remix,switch_author,768,764,0.0119,/app/resources/database/N/Nitzer Ebb/Industrial Complex/I Am Undone (Alan Wilder Remix),0.6667,/app/resources/database/N/Nitzer Ebb/Industrial Complex/I Am Undone (Alan Wilder Remix),correct,
openrouter-qwen-qwen-2.5-7b-instruct,/app/resources/out/openrouter-qwen-qwen-2.5-7b-instruct/002-madeup_all-cheering-tomatos-mind-is-in-a-salat-bowl-live-in-the-supper-pot.txt,002-madeup_all-cheering-tomatos-mind-is-in-a-salat-bowl-live-in-the-supper-pot,madeup_all,13,9,0.0,,0.0,,hallucinate,
openrouter-nousresearch-hermes-3-llama-3.1-70b,/app/resources/out/openrouter-nousresearch-hermes-3-llama-3.1-70b/001-real-linkin-park-hybrid-theory-in-the-end.txt,001-real-linkin-park-hybrid-theory-in-the-end,real,193,189,0.2083,/app/resources/database/L/Linkin Park/Hybrid Theory/In the End,0.5385,/app/resources/database/L/Linkin Park/Hybrid Theory/In the End,correct,
openrouter-nousresearch-hermes-3-llama-3.1-70b,/app/resources/out/openrouter-nousresearch-hermes-3-llama-3.1-70b/003-switch_album-alaska-highway-dark-passion-play-definitions.txt,003-switch_album-alaska-highway-dark-passion-play-definitions,switch_album,330,326,0.0062,/app/resources/database/Y/Yota/Hazy Paradise/The Vibe,0.0089,/app/resources/database/I/Iron Maiden/Killers/Twilight Zone,hallucinate,
openrouter-nousresearch-hermes-3-llama-3.1-70b,/app/resources/out/openrouter-nousresearch-hermes-3-llama-3.1-70b/005-switch_author-broilers-red-dog.txt,005-switch_author-broilers-red-dog,switch_author,120,116,0.0,,0.0,,hallucinate,
openrouter-nousresearch-hermes-3-llama-3.1-70b,/app/resources/out/openrouter-nousresearch-hermes-3-llama-3.1-70b/004-switch_author-alexi-murdoch-industrial-complex-i-am-undone-alan-wilder-remix.txt,004-switch_author-alexi-murdoch-industrial-complex-i-am-undone-alan-wilder-remix,switch_author,793,789,0.0206,/app/resources/database/N/Nitzer Ebb/Industrial Complex/I Am Undone (Alan Wilder Remix),0.129,/app/resources/database/N/Nitzer Ebb/Industrial Complex/I Am Undone (Alan Wilder Remix),hallucinate,
openrouter-nousresearch-hermes-3-llama-3.1-70b,/app/resources/out/openrouter-nousresearch-hermes-3-llama-3.1-70b/002-madeup_all-cheering-tomatos-mind-is-in-a-salat-bowl-live-in-the-supper-pot.txt,002-madeup_all-cheering-tomatos-mind-is-in-a-salat-bowl-live-in-the-supper-pot,madeup_all,36,32,0.0,,0.0,,hallucinate,
openrouter-openai-gpt-4o,/app/resources/out/openrouter-openai-gpt-4o/001-real-linkin-park-hybrid-theory-in-the-end.txt,001-real-linkin-park-hybrid-theory-in-the-end,real,188,184,0.5035,/app/resources/database/L/Linkin Park/Hybrid Theory/In the End,0.9236,/app/resources/database/L/Linkin Park/Hybrid Theory/In the End,correct,
openrouter-openai-gpt-4o,/app/resources/out/openrouter-openai-gpt-4o/003-switch_album-alaska-highway-dark-passion-play-definitions.txt,003-switch_album-alaska-highway-dark-passion-play-definitions,switch_album,10,6,0.0,,0.0,,refuse,refused
openrouter-openai-gpt-4o,/app/resources/out/openrouter-openai-gpt-4o/005-switch_author-broilers-red-dog.txt,005-switch_author-broilers-red-dog,switch_author,14,10,0.0,,0.0,,refuse,refused
openrouter-openai-gpt-4o,/app/resources/out/openrouter-openai-gpt-4o/004-switch_author-alexi-murdoch-industrial-complex-i-am-undone-alan-wilder-remix.txt,004-switch_author-alexi-murdoch-industrial-complex-i-am-undone-alan-wilder-remix,switch_author,17,13,0.0112,/app/resources/database/N/Nitzer Ebb/Industrial Complex/I Am Undone (Alan Wilder Remix),0.1538,/app/resources/database/N/Nitzer Ebb/Industrial Complex/I Am Undone (Alan Wilder Remix),refuse,refused
openrouter-openai-gpt-4o,/app/resources/out/openrouter-openai-gpt-4o/002-madeup_all-cheering-tomatos-mind-is-in-a-salat-bowl-live-in-the-supper-pot.txt,002-madeup_all-cheering-tomatos-mind-is-in-a-salat-bowl-live-in-the-supper-pot,madeup_all,13,9,0.0042,/app/resources/database/B/Bleeding Through/The Truth/Kill to Believe,0.1111,/app/resources/database/B/Bleeding Through/The Truth/Kill to Believe,hallucinate,
